"DateTime","Positive reviews","Negative reviews"
"2016-10-28 00:00:00",2,
"2016-10-29 00:00:00",4523,-2981
"2016-10-30 00:00:00",1586,-920
"2016-10-31 00:00:00",902,-565
"2016-11-01 00:00:00",638,-268
"2016-11-02 00:00:00",510,-257
"2016-11-03 00:00:00",406,-202
"2016-11-04 00:00:00",292,-166
"2016-11-05 00:00:00",247,-99
"2016-11-06 00:00:00",229,-117
"2016-11-07 00:00:00",243,-131
"2016-11-08 00:00:00",217,-78
"2016-11-09 00:00:00",196,-102
"2016-11-10 00:00:00",117,-63
"2016-11-11 00:00:00",92,-55
"2016-11-12 00:00:00",113,-58
"2016-11-13 00:00:00",127,-56
"2016-11-14 00:00:00",123,-63
"2016-11-15 00:00:00",84,-28
"2016-11-16 00:00:00",83,-29
"2016-11-17 00:00:00",84,-35
"2016-11-18 00:00:00",65,-23
"2016-11-19 00:00:00",57,-27
"2016-11-20 00:00:00",64,-27
"2016-11-21 00:00:00",64,-29
"2016-11-22 00:00:00",55,-20
"2016-11-23 00:00:00",53,-34
"2016-11-24 00:00:00",1584,-48
"2016-11-25 00:00:00",2554,-53
"2016-11-26 00:00:00",1449,-38
"2016-11-27 00:00:00",1020,-17
"2016-11-28 00:00:00",891,-26
"2016-11-29 00:00:00",501,-12
"2016-11-30 00:00:00",377,-12
"2016-12-01 00:00:00",41,-15
"2016-12-02 00:00:00",41,-6
"2016-12-03 00:00:00",38,-9
"2016-12-04 00:00:00",51,-9
"2016-12-05 00:00:00",34,-13
"2016-12-06 00:00:00",37,-2
"2016-12-07 00:00:00",32,-10
"2016-12-08 00:00:00",30,-2
"2016-12-09 00:00:00",19,-3
"2016-12-10 00:00:00",22,-7
"2016-12-11 00:00:00",22,-3
"2016-12-12 00:00:00",40,-5
"2016-12-13 00:00:00",21,-5
"2016-12-14 00:00:00",29,-4
"2016-12-15 00:00:00",38,-2
"2016-12-16 00:00:00",22,
"2016-12-17 00:00:00",31,
"2016-12-18 00:00:00",14,-4
"2016-12-19 00:00:00",43,-8
"2016-12-20 00:00:00",31,-3
"2016-12-21 00:00:00",34,
"2016-12-22 00:00:00",25,-8
"2016-12-23 00:00:00",26,-5
